slope,elevation,rainfall_total,rainfall_1h,rainfall_6h,rainfall_12h,rainfall_24h,soil_moisture,soil_type,geology,vegetation_ndvi,land_use,historical_landslide_density,risk_probability,risk_level,source_type
31.6,250.7,138.1,22.7,62.2,95.2,138.1,0.544,2,1,0.319,3,0.336,0.4472,MEDIUM,DEMO
26.8,509.3,96.1,21.0,42.7,68.5,96.1,0.4,0,1,0.755,2,0.301,0.3064,MEDIUM,DEMO
54.9,2255.5,152.9,31.9,82.1,121.2,152.9,0.528,2,0,0.673,0,0.34,0.6373,HIGH,DEMO
43.4,939.9,36.4,6.0,17.9,26.7,36.4,0.299,0,3,0.593,3,0.09,0.1829,LOW,DEMO
20.1,557.8,29.8,7.0,15.6,22.2,29.8,0.293,2,0,0.806,0,0.287,0.1216,LOW,DEMO
48.9,2531.9,30.2,3.8,14.3,25.4,30.2,0.369,2,1,0.321,1,0.291,0.2897,MEDIUM,DEMO
33.1,124.7,179.6,23.7,73.1,132.1,179.6,0.516,1,2,0.559,1,0.153,0.4824,MEDIUM,DEMO
50.6,292.5,154.7,25.8,71.9,102.8,154.7,0.456,2,2,0.144,0,0.421,0.5687,HIGH,DEMO
45.1,831.0,132.2,18.3,52.2,100.1,132.2,0.501,0,2,0.798,0,0.226,0.4236,MEDIUM,DEMO
31.2,940.4,27.2,5.7,12.0,20.4,27.2,0.276,1,2,0.46,1,0.106,0.1459,LOW,DEMO
11.0,116.3,133.1,10.8,37.5,73.8,133.1,0.515,2,1,0.255,1,0.318,0.3292,MEDIUM,DEMO
25.9,544.3,28.6,3.1,14.3,19.8,28.6,0.339,2,3,0.302,0,0.061,0.1002,LOW,DEMO
34.9,1022.7,6.4,1.3,2.8,5.0,6.4,0.207,3,3,0.765,1,0.055,0.1078,LOW,DEMO
38.1,1157.8,56.9,5.4,20.5,39.8,56.9,0.386,0,1,0.203,1,0.101,0.2603,MEDIUM,DEMO
25.4,994.8,67.4,10.9,34.8,52.9,67.4,0.324,1,1,0.823,1,0.645,0.2362,LOW,DEMO
20.0,427.8,166.6,21.5,59.8,114.2,166.6,0.563,3,1,0.404,1,0.008,0.4356,MEDIUM,DEMO
46.9,168.4,36.0,11.0,22.3,30.4,36.0,0.255,1,0,0.311,3,0.352,0.317,MEDIUM,DEMO
59.4,581.4,263.1,33.9,94.0,167.8,263.1,0.745,3,0,0.372,3,0.291,0.8071,VERY HIGH,DEMO
34.4,204.0,86.0,10.8,32.2,49.7,86.0,0.409,1,0,0.431,3,0.073,0.291,MEDIUM,DEMO
21.7,2734.4,70.4,9.9,26.5,47.8,70.4,0.326,2,2,0.537,0,0.221,0.1495,LOW,DEMO
26.0,660.2,70.2,17.0,34.6,50.0,70.2,0.312,3,1,0.566,1,0.17,0.2669,MEDIUM,DEMO
10.5,423.5,29.7,6.2,14.0,19.4,29.7,0.343,2,3,0.46,1,0.305,0.1187,LOW,DEMO
52.0,1388.4,60.3,6.5,25.8,37.5,60.3,0.339,3,2,0.459,2,0.307,0.314,MEDIUM,DEMO
18.8,700.1,90.1,21.1,47.7,67.8,90.1,0.468,0,0,0.337,1,0.178,0.3167,MEDIUM,DEMO
36.0,414.0,134.8,19.4,43.0,89.4,134.8,0.473,1,0,0.412,1,0.208,0.4941,MEDIUM,DEMO
26.1,1584.0,58.7,12.8,31.6,43.4,58.7,0.424,0,1,0.475,1,0.073,0.2337,LOW,DEMO
35.3,1896.7,85.4,16.9,42.7,66.9,85.4,0.361,0,3,0.574,0,0.304,0.2614,MEDIUM,DEMO
38.7,1086.0,122.4,22.5,67.7,95.3,122.4,0.551,1,2,0.219,1,0.07,0.4454,MEDIUM,DEMO
46.6,123.3,57.4,9.8,24.9,38.1,57.4,0.365,3,2,0.701,0,0.353,0.252,MEDIUM,DEMO
23.3,831.9,140.2,21.7,51.5,101.0,140.2,0.53,1,2,0.637,0,0.771,0.3393,MEDIUM,DEMO
9.2,1376.8,107.7,11.1,46.7,73.8,107.7,0.4,3,1,0.347,0,0.16,0.2207,LOW,DEMO
19.9,212.1,126.8,13.6,49.1,102.9,126.8,0.522,3,0,0.469,0,0.19,0.297,MEDIUM,DEMO
50.9,313.7,17.1,2.4,9.2,13.9,17.1,0.32,0,0,0.84,0,0.134,0.207,LOW,DEMO
49.2,2007.1,62.3,10.5,23.3,40.7,62.3,0.349,0,1,0.136,1,0.475,0.4208,MEDIUM,DEMO
36.8,98.3,48.3,5.6,13.8,27.9,48.3,0.233,1,0,0.737,3,0.316,0.2061,LOW,DEMO
36.9,1337.5,13.8,2.1,6.2,8.3,13.8,0.22,2,2,0.509,2,0.502,0.1413,LOW,DEMO
39.2,657.8,132.8,28.3,63.1,87.7,132.8,0.441,0,0,0.59,0,0.306,0.449,MEDIUM,DEMO
21.9,612.8,22.9,4.9,11.8,16.5,22.9,0.315,2,0,0.64,0,0.278,0.1178,LOW,DEMO
52.0,86.4,170.2,41.4,87.3,127.1,170.2,0.543,0,2,0.467,1,0.239,0.6425,HIGH,DEMO
31.0,1620.3,73.5,7.0,31.4,47.7,73.5,0.364,0,1,0.266,3,0.388,0.2404,LOW,DEMO
29.9,481.4,101.5,17.4,49.2,76.1,101.5,0.41,1,0,0.811,0,0.075,0.2913,MEDIUM,DEMO
34.1,780.4,49.3,8.1,19.8,41.0,49.3,0.415,1,3,0.683,1,0.23,0.1924,LOW,DEMO
13.7,1097.9,139.6,19.7,74.9,104.1,139.6,0.511,3,1,0.545,1,0.007,0.3548,MEDIUM,DEMO
21.4,1171.5,71.7,9.1,30.6,42.9,71.7,0.393,3,1,0.461,3,0.072,0.1882,LOW,DEMO
42.2,2890.8,105.0,16.7,51.3,76.0,105.0,0.414,3,3,0.499,1,0.473,0.4143,MEDIUM,DEMO
16.6,762.1,148.8,33.8,77.2,106.0,148.8,0.525,0,0,0.746,2,0.595,0.4018,MEDIUM,DEMO
37.0,539.3,113.9,19.8,56.9,92.4,113.9,0.413,2,3,0.13,0,0.087,0.3413,MEDIUM,DEMO
24.9,2845.4,57.8,7.7,22.1,37.8,57.8,0.374,1,2,0.778,0,0.213,0.1316,LOW,DEMO
30.1,1004.8,72.0,11.9,36.1,48.7,72.0,0.326,0,0,0.156,1,0.098,0.2885,MEDIUM,DEMO
26.6,398.6,129.4,14.9,55.6,94.4,129.4,0.527,1,1,0.588,2,0.419,0.372,MEDIUM,DEMO
29.0,201.7,3.9,0.9,1.8,2.8,3.9,0.221,1,3,0.373,3,0.092,0.0895,LOW,DEMO
41.4,1743.8,63.2,8.0,27.2,48.4,63.2,0.415,1,2,0.635,1,0.093,0.2499,LOW,DEMO
26.9,484.7,76.3,10.2,27.5,42.9,76.3,0.487,0,2,0.185,0,0.679,0.2235,LOW,DEMO
35.7,1052.2,92.5,10.8,44.3,66.5,92.5,0.422,3,0,0.543,1,0.415,0.3564,MEDIUM,DEMO
32.8,652.8,49.4,6.1,18.4,28.9,49.4,0.407,2,0,0.77,2,0.041,0.1946,LOW,DEMO
39.2,279.6,71.1,13.0,27.7,45.8,71.1,0.42,1,1,0.496,2,0.053,0.31,MEDIUM,DEMO
53.8,908.5,85.6,17.2,34.6,64.0,85.6,0.337,3,1,0.184,3,0.318,0.5163,HIGH,DEMO
42.0,136.3,84.6,10.0,32.5,50.5,84.6,0.413,3,3,0.148,0,0.194,0.2789,MEDIUM,DEMO
23.7,560.0,82.7,9.5,38.4,53.1,82.7,0.429,2,1,0.592,2,0.178,0.2212,LOW,DEMO
12.1,791.9,59.0,6.0,20.3,44.9,59.0,0.39,2,0,0.173,0,0.221,0.1591,LOW,DEMO
25.6,595.5,88.2,9.6,32.2,65.7,88.2,0.423,1,0,0.174,0,0.026,0.2332,LOW,DEMO
36.7,1322.9,164.2,18.1,46.1,94.8,164.2,0.563,1,0,0.443,0,0.23,0.5104,HIGH,DEMO
14.1,1663.8,71.8,13.2,37.8,51.9,71.8,0.384,1,0,0.279,2,0.686,0.257,MEDIUM,DEMO
33.4,1407.6,87.4,14.5,33.7,51.9,87.4,0.419,3,1,0.275,3,0.021,0.3076,MEDIUM,DEMO
36.7,115.6,71.0,13.4,32.7,44.4,71.0,0.321,2,0,0.486,0,0.244,0.2805,MEDIUM,DEMO
28.3,274.2,159.1,18.8,68.4,109.4,159.1,0.534,1,3,0.333,2,0.673,0.4429,MEDIUM,DEMO
43.7,772.3,63.3,9.5,21.7,36.9,63.3,0.295,2,1,0.287,0,0.276,0.2878,MEDIUM,DEMO
18.1,2537.6,39.6,10.5,23.1,33.6,39.6,0.299,1,3,0.511,1,0.285,0.1429,LOW,DEMO
16.0,1701.4,116.5,13.2,34.8,69.9,116.5,0.437,2,1,0.341,2,0.584,0.3075,MEDIUM,DEMO
41.8,1743.7,61.2,13.0,27.1,48.0,61.2,0.331,0,1,0.181,1,0.371,0.3622,MEDIUM,DEMO
33.4,405.1,112.5,23.1,53.0,89.9,112.5,0.406,2,1,0.639,0,0.12,0.3338,MEDIUM,DEMO
40.2,585.0,54.5,9.5,25.0,46.3,54.5,0.365,1,3,0.565,3,0.321,0.2225,LOW,DEMO
31.5,652.6,33.2,6.0,12.6,22.5,33.2,0.296,0,2,0.281,1,0.351,0.1717,LOW,DEMO
25.0,234.1,73.4,10.7,28.2,59.6,73.4,0.365,2,1,0.563,3,0.186,0.2099,LOW,DEMO
46.1,108.4,25.0,3.8,10.6,20.9,25.0,0.226,1,1,0.846,2,0.168,0.2054,LOW,DEMO
45.1,2722.1,91.2,9.3,30.2,54.9,91.2,0.405,2,0,0.847,3,0.055,0.3383,MEDIUM,DEMO
40.4,327.8,125.6,27.9,60.0,87.2,125.6,0.541,0,2,0.524,1,0.166,0.4493,MEDIUM,DEMO
26.0,326.9,218.7,14.9,62.7,124.2,218.7,0.714,3,3,0.195,3,0.171,0.4665,MEDIUM,DEMO
36.5,158.4,52.9,7.4,21.6,39.0,52.9,0.367,2,0,0.468,3,0.4,0.2475,LOW,DEMO
29.2,2454.3,44.5,5.5,15.1,32.2,44.5,0.318,1,1,0.141,0,0.4,0.1754,LOW,DEMO
17.2,860.2,123.8,17.1,46.7,75.7,123.8,0.508,2,1,0.436,3,0.208,0.3182,MEDIUM,DEMO
52.2,1069.8,118.5,23.4,59.2,93.5,118.5,0.437,0,3,0.811,2,0.122,0.4767,MEDIUM,DEMO
19.9,2263.1,123.2,17.3,49.1,69.2,123.2,0.464,2,0,0.475,2,0.062,0.3344,MEDIUM,DEMO
55.1,461.7,220.7,33.7,121.6,174.8,220.7,0.623,0,0,0.538,0,0.121,0.7173,HIGH,DEMO
31.9,954.4,76.4,10.4,22.8,42.6,76.4,0.437,1,0,0.24,0,0.278,0.2659,MEDIUM,DEMO
22.3,115.6,247.6,36.1,90.8,185.0,247.6,0.749,3,0,0.132,2,0.252,0.5765,HIGH,DEMO
34.9,266.1,59.8,7.8,17.0,34.3,59.8,0.359,0,2,0.875,0,0.385,0.1709,LOW,DEMO
49.1,1681.4,47.2,6.2,21.9,29.5,47.2,0.424,1,0,0.377,0,0.214,0.2977,MEDIUM,DEMO
42.0,1390.2,44.1,8.6,22.1,33.8,44.1,0.353,0,1,0.332,0,0.266,0.2444,LOW,DEMO
45.4,468.6,42.1,5.1,12.4,26.7,42.1,0.346,2,3,0.554,2,0.026,0.206,LOW,DEMO
39.0,505.6,227.1,24.7,78.4,159.7,227.1,0.684,1,0,0.686,1,0.186,0.6462,HIGH,DEMO
40.3,766.4,154.1,33.6,75.7,127.1,154.1,0.473,1,0,0.311,1,0.137,0.5654,HIGH,DEMO
47.7,80.2,215.0,12.5,62.2,121.5,215.0,0.605,1,3,0.518,2,0.112,0.5768,HIGH,DEMO
25.1,328.5,16.3,3.4,8.9,12.9,16.3,0.278,0,1,0.373,0,0.255,0.1138,LOW,DEMO
33.2,290.1,28.5,3.9,10.1,16.2,28.5,0.301,3,0,0.486,0,0.632,0.1715,LOW,DEMO
23.9,339.5,61.4,8.2,22.9,36.1,61.4,0.393,3,0,0.243,0,0.421,0.2003,LOW,DEMO
60.1,1555.5,55.1,7.4,19.0,32.3,55.1,0.319,3,3,0.508,3,0.174,0.3536,MEDIUM,DEMO
54.5,375.2,87.7,9.8,39.2,74.4,87.7,0.416,0,0,0.156,1,0.257,0.518,HIGH,DEMO
13.0,271.3,77.7,11.9,29.4,46.9,77.7,0.399,0,2,0.758,1,0.353,0.1868,LOW,DEMO
40.9,711.5,35.3,5.8,19.2,28.9,35.3,0.322,2,0,0.597,2,0.156,0.2259,LOW,DEMO
52.8,1886.5,50.9,8.1,24.2,43.1,50.9,0.345,3,0,0.836,0,0.644,0.3414,MEDIUM,DEMO
22.1,328.6,63.8,7.7,25.5,42.4,63.8,0.298,2,3,0.576,2,0.098,0.1426,LOW,DEMO
35.8,153.6,31.3,5.5,16.2,23.1,31.3,0.195,1,0,0.258,0,0.067,0.1737,LOW,DEMO
52.1,476.6,69.5,10.4,27.0,54.5,69.5,0.332,2,0,0.488,1,0.278,0.4347,MEDIUM,DEMO
12.4,1319.3,32.9,6.1,13.5,22.0,32.9,0.285,0,1,0.625,0,0.239,0.1109,LOW,DEMO
40.5,800.0,68.2,7.8,22.6,40.8,68.2,0.318,3,1,0.404,0,0.387,0.2636,MEDIUM,DEMO
26.9,1607.4,39.4,5.3,17.7,26.8,39.4,0.32,3,0,0.54,1,0.181,0.1772,LOW,DEMO
52.8,2967.9,132.8,16.4,47.3,103.8,132.8,0.551,3,1,0.244,0,0.076,0.5669,HIGH,DEMO
57.4,1496.1,98.7,20.5,50.4,77.4,98.7,0.47,0,0,0.711,2,0.211,0.5833,HIGH,DEMO
54.5,913.3,97.2,8.8,28.9,60.2,97.2,0.454,1,0,0.811,0,0.507,0.4478,MEDIUM,DEMO
32.7,691.9,117.3,10.8,33.2,70.7,117.3,0.517,1,0,0.359,2,0.054,0.3589,MEDIUM,DEMO
48.5,116.8,102.1,20.8,56.3,84.3,102.1,0.393,0,3,0.723,0,0.317,0.3896,MEDIUM,DEMO
47.5,3819.9,133.3,13.9,48.2,75.1,133.3,0.475,1,0,0.19,0,0.233,0.5147,HIGH,DEMO
27.7,515.3,82.9,12.1,45.9,63.9,82.9,0.435,2,1,0.307,2,0.126,0.2684,MEDIUM,DEMO
46.6,228.6,116.2,9.6,39.7,65.6,116.2,0.442,1,0,0.471,1,0.266,0.4746,MEDIUM,DEMO
12.7,1068.9,95.3,14.2,46.5,76.4,95.3,0.406,1,0,0.414,0,0.093,0.2285,LOW,DEMO
36.7,381.0,94.9,11.1,51.6,77.9,94.9,0.519,0,0,0.591,1,0.228,0.3671,MEDIUM,DEMO
24.3,873.2,23.6,3.1,8.2,15.1,23.6,0.299,3,1,0.548,0,0.327,0.1143,LOW,DEMO
19.0,875.4,35.9,2.4,9.5,20.5,35.9,0.405,2,0,0.186,0,0.049,0.1235,LOW,DEMO
16.2,611.1,88.3,10.0,31.8,61.3,88.3,0.323,2,1,0.22,2,0.344,0.2276,LOW,DEMO
40.5,1707.8,44.3,4.1,14.8,28.3,44.3,0.301,0,3,0.159,1,0.056,0.204,LOW,DEMO
28.5,357.1,71.9,10.4,26.7,48.5,71.9,0.404,2,0,0.844,0,0.457,0.218,LOW,DEMO
41.7,615.8,52.3,13.1,28.7,39.2,52.3,0.352,0,2,0.61,1,0.117,0.266,MEDIUM,DEMO
15.3,774.4,53.7,8.9,22.8,32.9,53.7,0.247,2,0,0.77,1,0.097,0.1632,LOW,DEMO
27.6,1060.6,77.4,13.5,37.2,50.9,77.4,0.382,2,0,0.531,1,0.238,0.2864,MEDIUM,DEMO
34.8,1459.1,62.6,14.8,36.8,49.1,62.6,0.49,3,0,0.267,0,0.042,0.2828,MEDIUM,DEMO
44.6,532.0,168.3,15.2,72.6,125.1,168.3,0.575,1,1,0.596,2,0.454,0.5912,HIGH,DEMO
27.7,1014.7,25.6,2.0,8.6,16.6,25.6,0.328,0,0,0.504,0,0.185,0.1254,LOW,DEMO
37.8,226.9,107.1,11.3,49.6,80.2,107.1,0.417,3,2,0.43,1,0.084,0.3252,MEDIUM,DEMO
50.0,2508.0,120.3,15.4,67.0,93.8,120.3,0.486,3,0,0.403,2,0.237,0.5527,HIGH,DEMO
37.4,514.7,175.3,20.9,75.2,127.5,175.3,0.575,1,1,0.614,0,0.092,0.5001,HIGH,DEMO
24.4,1256.8,78.6,10.6,29.4,48.9,78.6,0.452,0,1,0.589,3,0.473,0.2352,LOW,DEMO
11.3,98.5,113.0,7.1,30.5,62.2,113.0,0.514,1,0,0.235,2,0.174,0.2621,MEDIUM,DEMO
49.0,286.7,167.0,36.6,76.1,132.1,167.0,0.581,1,1,0.74,1,0.293,0.6473,HIGH,DEMO
10.9,680.9,49.3,10.2,22.3,39.3,49.3,0.345,2,0,0.603,0,0.603,0.1656,LOW,DEMO
49.2,1975.2,39.5,8.2,16.7,30.0,39.5,0.239,2,0,0.527,0,0.518,0.2961,MEDIUM,DEMO
34.5,754.3,81.0,7.1,33.2,46.4,81.0,0.315,0,2,0.689,2,0.789,0.2404,LOW,DEMO
54.0,2471.7,64.7,10.0,22.0,47.0,64.7,0.374,2,0,0.237,0,0.097,0.3939,MEDIUM,DEMO
45.0,675.1,114.4,29.8,67.6,91.1,114.4,0.506,0,2,0.819,0,0.238,0.392,MEDIUM,DEMO
63.0,686.8,26.9,3.8,8.1,17.9,26.9,0.367,0,0,0.326,0,0.168,0.3414,MEDIUM,DEMO
28.8,194.8,160.5,25.7,71.8,97.8,160.5,0.504,1,0,0.32,0,0.502,0.4652,MEDIUM,DEMO
43.5,1540.5,88.8,17.3,39.6,64.5,88.8,0.339,0,0,0.739,0,0.569,0.3976,MEDIUM,DEMO
30.5,335.3,63.5,7.2,33.5,50.6,63.5,0.414,2,1,0.374,3,0.745,0.2447,LOW,DEMO
32.9,2148.8,75.4,4.8,21.6,42.6,75.4,0.349,1,0,0.751,2,0.443,0.2371,LOW,DEMO
37.8,2255.4,138.0,15.3,65.0,100.6,138.0,0.427,1,0,0.369,2,0.19,0.4673,MEDIUM,DEMO
49.2,2663.1,103.3,26.0,54.8,76.7,103.3,0.417,1,1,0.539,2,0.213,0.4992,MEDIUM,DEMO
59.4,741.0,74.4,5.8,26.8,54.4,74.4,0.363,3,0,0.295,0,0.255,0.4367,MEDIUM,DEMO
43.6,1097.4,65.8,5.5,23.9,49.1,65.8,0.438,3,2,0.676,3,0.073,0.2274,LOW,DEMO
31.0,1436.7,67.9,13.0,27.2,50.2,67.9,0.419,2,1,0.247,0,0.177,0.2457,LOW,DEMO
31.1,206.4,111.5,7.6,32.7,65.7,111.5,0.42,1,1,0.804,0,0.899,0.2852,MEDIUM,DEMO
42.2,906.8,62.3,8.6,18.7,38.7,62.3,0.436,0,2,0.402,0,0.447,0.2491,LOW,DEMO
24.7,111.4,106.2,22.3,51.1,78.2,106.2,0.454,1,0,0.478,1,0.099,0.3523,MEDIUM,DEMO
18.4,699.5,40.5,2.4,11.6,22.5,40.5,0.378,1,0,0.138,0,0.234,0.1328,LOW,DEMO
29.0,231.4,45.5,4.5,21.9,33.7,45.5,0.401,0,0,0.862,2,0.262,0.1722,LOW,DEMO
26.6,261.8,73.9,14.1,39.2,55.4,73.9,0.374,0,0,0.738,1,0.151,0.2629,MEDIUM,DEMO
26.9,488.8,65.5,13.1,26.3,40.7,65.5,0.4,1,0,0.46,1,0.199,0.2664,MEDIUM,DEMO
24.5,589.8,47.4,7.8,16.8,34.6,47.4,0.318,2,1,0.819,2,0.092,0.1548,LOW,DEMO
13.3,958.4,32.7,4.2,14.4,23.2,32.7,0.357,2,1,0.828,3,0.324,0.1144,LOW,DEMO
10.4,149.6,42.7,4.8,15.2,26.8,42.7,0.334,2,0,0.525,2,0.327,0.1465,LOW,DEMO
60.1,710.5,184.2,22.2,70.2,126.9,184.2,0.64,1,0,0.298,1,0.539,0.8168,VERY HIGH,DEMO
31.3,261.5,47.3,8.9,21.2,38.9,47.3,0.414,1,0,0.49,3,0.165,0.2123,LOW,DEMO
30.0,847.9,77.6,11.6,38.4,52.6,77.6,0.422,1,0,0.367,1,0.318,0.3052,MEDIUM,DEMO
39.8,993.0,47.3,5.7,23.5,35.0,47.3,0.333,3,1,0.46,1,0.137,0.2441,LOW,DEMO
23.8,812.2,61.3,7.1,16.8,34.4,61.3,0.36,0,1,0.813,0,0.484,0.1616,LOW,DEMO
55.0,1286.5,128.0,14.7,43.5,73.4,128.0,0.34,1,0,0.334,0,0.364,0.5676,HIGH,DEMO
44.4,448.0,64.5,4.5,20.2,37.1,64.5,0.334,1,2,0.758,0,0.058,0.1951,LOW,DEMO
17.0,1383.8,59.5,15.2,34.7,46.6,59.5,0.407,0,1,0.831,1,0.265,0.2098,LOW,DEMO
31.0,590.3,49.3,9.0,24.0,32.3,49.3,0.39,1,1,0.732,1,0.234,0.2146,LOW,DEMO
49.5,675.8,62.8,7.4,21.2,38.8,62.8,0.33,2,0,0.521,1,0.458,0.3848,MEDIUM,DEMO
54.5,1020.0,95.2,16.5,40.9,73.7,95.2,0.435,1,0,0.549,0,0.426,0.5193,HIGH,DEMO
32.5,96.7,18.0,2.4,6.8,10.8,18.0,0.274,0,2,0.743,1,0.272,0.1258,LOW,DEMO
37.3,1035.2,29.1,4.2,10.8,18.1,29.1,0.338,1,3,0.154,1,0.446,0.192,LOW,DEMO
21.4,947.5,96.6,15.5,33.7,65.6,96.6,0.54,0,2,0.679,1,0.088,0.2513,MEDIUM,DEMO
60.8,413.8,76.8,12.4,32.3,49.9,76.8,0.428,1,0,0.522,1,0.273,0.5595,HIGH,DEMO
24.4,160.7,51.1,8.1,20.4,37.1,51.1,0.311,1,0,0.422,1,0.057,0.1944,LOW,DEMO
54.4,165.8,100.1,16.2,42.1,65.2,100.1,0.432,3,1,0.703,0,0.18,0.4778,MEDIUM,DEMO
38.7,2390.2,57.5,7.8,21.7,38.4,57.5,0.427,0,2,0.322,0,0.301,0.2121,LOW,DEMO
37.1,1132.0,126.8,17.0,67.7,102.6,126.8,0.415,1,0,0.801,0,0.143,0.3837,MEDIUM,DEMO
33.9,202.3,49.6,7.9,26.3,40.5,49.6,0.311,1,2,0.643,0,0.42,0.165,LOW,DEMO
24.3,477.1,39.7,7.8,19.1,31.7,39.7,0.359,2,1,0.584,0,0.592,0.1581,LOW,DEMO
21.9,887.9,283.9,49.8,152.0,229.8,283.9,0.842,2,2,0.518,0,0.193,0.468,MEDIUM,DEMO
23.9,1704.8,111.8,15.3,47.4,80.6,111.8,0.488,2,1,0.282,0,0.04,0.2859,MEDIUM,DEMO
22.4,120.2,43.7,6.7,15.8,32.5,43.7,0.301,2,1,0.589,2,0.44,0.1624,LOW,DEMO
44.1,323.0,57.8,4.2,20.9,41.5,57.8,0.384,0,0,0.671,0,0.06,0.2343,LOW,DEMO
28.8,2064.5,49.8,8.3,20.5,39.1,49.8,0.363,3,2,0.129,1,0.326,0.2001,LOW,DEMO
14.7,88.3,21.6,2.5,7.2,15.5,21.6,0.308,1,2,0.398,1,0.171,0.1001,LOW,DEMO
57.2,282.4,60.3,7.3,23.3,35.2,60.3,0.357,0,3,0.753,1,0.025,0.3407,MEDIUM,DEMO
49.8,2955.3,81.8,11.0,36.3,64.9,81.8,0.405,2,0,0.6,1,0.347,0.4459,MEDIUM,DEMO
53.0,935.3,163.3,15.3,60.8,127.1,163.3,0.508,2,1,0.588,1,0.268,0.6521,HIGH,DEMO
61.8,353.0,69.6,11.6,38.6,55.4,69.6,0.503,0,3,0.294,0,0.521,0.4565,MEDIUM,DEMO
21.8,142.4,54.3,6.9,21.6,33.0,54.3,0.359,3,1,0.6,0,0.193,0.1444,LOW,DEMO
30.3,105.7,175.4,21.5,64.9,110.8,175.4,0.603,1,0,0.717,1,0.156,0.5242,HIGH,DEMO
43.1,332.6,153.6,20.7,51.4,98.1,153.6,0.524,1,3,0.425,1,0.153,0.5187,HIGH,DEMO
40.5,1999.5,81.5,9.5,28.4,57.3,81.5,0.444,1,0,0.258,1,0.179,0.3678,MEDIUM,DEMO
20.8,563.9,76.6,11.7,26.6,45.2,76.6,0.327,0,0,0.179,3,0.07,0.2248,LOW,DEMO
45.9,1226.7,94.5,17.6,45.0,62.9,94.5,0.338,3,1,0.504,1,0.052,0.4496,MEDIUM,DEMO
24.1,2334.1,49.2,3.9,15.1,29.8,49.2,0.34,2,0,0.64,0,0.374,0.1455,LOW,DEMO
24.0,551.9,74.6,8.3,29.2,47.0,74.6,0.491,1,0,0.244,2,0.141,0.2384,LOW,DEMO
34.7,271.1,47.9,6.0,27.0,36.5,47.9,0.399,2,1,0.44,3,0.311,0.2111,LOW,DEMO
36.6,735.2,156.6,39.2,81.0,126.3,156.6,0.5,2,1,0.552,2,0.007,0.4823,MEDIUM,DEMO
36.2,2228.2,41.2,6.2,13.3,22.9,41.2,0.352,2,3,0.238,3,0.156,0.1746,LOW,DEMO
17.2,1548.4,85.5,9.2,40.9,61.6,85.5,0.377,0,2,0.325,0,0.282,0.1643,LOW,DEMO
49.4,141.3,88.1,12.8,34.5,49.4,88.1,0.435,2,2,0.582,0,0.079,0.3383,MEDIUM,DEMO
25.7,1141.6,164.3,28.9,59.3,94.6,164.3,0.58,1,1,0.671,0,0.718,0.4426,MEDIUM,DEMO
19.5,843.6,53.9,12.4,29.2,41.0,53.9,0.396,3,0,0.603,2,0.019,0.1891,LOW,DEMO
50.2,2222.1,46.5,7.5,21.7,35.8,46.5,0.258,2,1,0.662,1,0.08,0.3093,MEDIUM,DEMO
55.6,197.6,108.1,16.3,60.0,85.8,108.1,0.387,1,1,0.562,1,0.513,0.593,HIGH,DEMO
48.5,767.3,99.6,14.4,50.7,69.0,99.6,0.431,0,1,0.755,0,0.071,0.3939,MEDIUM,DEMO
45.6,1984.2,218.0,44.5,105.7,176.1,218.0,0.603,1,0,0.748,2,0.024,0.6488,HIGH,DEMO
38.9,554.9,82.4,13.6,31.2,49.5,82.4,0.348,2,0,0.725,2,0.398,0.3454,MEDIUM,DEMO
35.2,672.0,154.7,21.9,61.2,96.7,154.7,0.551,0,1,0.557,0,0.38,0.4665,MEDIUM,DEMO
16.9,145.8,144.7,13.8,58.5,85.4,144.7,0.473,2,0,0.876,0,0.114,0.2811,MEDIUM,DEMO
30.7,373.3,46.3,12.2,25.5,36.6,46.3,0.449,2,3,0.15,0,0.097,0.1797,LOW,DEMO
29.6,433.1,24.3,3.1,6.9,15.0,24.3,0.268,0,1,0.269,0,0.643,0.1487,LOW,DEMO
25.5,2692.4,61.0,5.9,24.4,36.4,61.0,0.35,2,2,0.735,1,0.159,0.155,LOW,DEMO
41.6,379.0,123.9,13.6,62.6,91.3,123.9,0.495,0,0,0.748,2,0.134,0.4373,MEDIUM,DEMO
33.4,636.0,165.9,22.6,62.8,95.1,165.9,0.483,0,1,0.742,2,0.219,0.4747,MEDIUM,DEMO
16.5,1081.4,3.0,0.3,1.1,1.7,3.0,0.281,0,3,0.783,0,0.425,0.0631,LOW,DEMO
23.9,239.3,41.0,3.1,11.0,23.8,41.0,0.343,2,0,0.441,0,0.18,0.1345,LOW,DEMO
40.0,679.8,94.5,6.9,30.3,52.0,94.5,0.408,3,0,0.828,1,0.212,0.3263,MEDIUM,DEMO
16.1,1287.3,110.9,28.4,58.5,84.2,110.9,0.47,2,0,0.279,0,0.4,0.3105,MEDIUM,DEMO
47.8,1894.7,36.7,8.6,19.2,26.3,36.7,0.339,1,0,0.832,0,0.129,0.2505,MEDIUM,DEMO
33.4,965.8,47.8,3.6,15.2,29.3,47.8,0.41,0,1,0.543,0,0.197,0.1673,LOW,DEMO
32.9,1075.2,20.3,3.6,7.8,12.6,20.3,0.413,2,0,0.245,1,0.241,0.1941,LOW,DEMO
36.6,201.5,187.7,41.7,102.9,148.9,187.7,0.545,0,1,0.679,1,0.466,0.5913,HIGH,DEMO
